X,Y,Z,IN_frac,MK_frac,INC_frac
7.08,-1.58,23.274094,0.9226273,0,0.0773727
8.26,-1.58,23.274094,0.9226273,0,0.0773727
9.44,-1.58,23.274094,0.9226273,0,0.0773727
10.62,-1.58,23.274094,0.9226273,0,0.0773727
0,-0.400000000000002,23.274094,0.993497491,0,0.006502509
1.18,-0.400000000000002,23.274094,0.993497491,0,0.006502509
2.36,-0.400000000000002,23.274094,0.993497491,0,0.006502509
3.54,-0.400000000000002,23.274094,0.993497491,0,0.006502509
4.72,-0.400000000000002,23.274094,0.993497491,0,0.006502509
5.9,-0.400000000000002,23.274094,0.993497491,0,0.006502509
7.08,-0.400000000000002,23.274094,0.993497491,0,0.006502509
8.26,-0.400000000000002,23.274094,0.993497491,0,0.006502509
9.44,-0.400000000000002,23.274094,0.993497491,0,0.006502509
10.62,-0.400000000000002,23.274094,0.993497491,0,0.006502509
0,0.779999999999998,23.274094,0.964564905,0,0.035435095
1.18,0.779999999999998,23.274094,0.964564905,0,0.035435095
2.36,0.779999999999998,23.274094,0.964564905,0,0.035435095
3.54,0.779999999999998,23.274094,0.964564905,0,0.035435095
4.72,0.779999999999998,23.274094,0.964564905,0,0.035435095
5.9,0.779999999999998,23.274094,0.964564905,0,0.035435095
7.08,0.779999999999998,23.274094,0.964564905,0,0.035435095
8.26,0.779999999999998,23.274094,0.964564905,0,0.035435095
9.44,0.779999999999998,23.274094,0.964564905,0,0.035435095
10.62,0.779999999999998,23.274094,0.964564905,0,0.035435095
0,1.96,23.274094,0.9226273,0,0.0773727
1.18,1.96,23.274094,0.9226273,0,0.0773727
2.36,1.96,23.274094,0.9226273,0,0.0773727
3.54,1.96,23.274094,0.9226273,0,0.0773727
4.72,1.96,23.274094,0.9226273,0,0.0773727
5.9,1.96,23.274094,0.9226273,0,0.0773727
7.08,1.96,23.274094,0.9226273,0,0.0773727
8.26,1.96,23.274094,0.9226273,0,0.0773727
9.44,1.96,23.274094,0.9226273,0,0.0773727
10.62,1.96,23.274094,0.9226273,0,0.0773727
0,3.14,23.274094,0.880689696,0,0.119310304
1.18,3.14,23.274094,0.880689696,0,0.119310304
2.36,3.14,23.274094,0.880689696,0,0.119310304
3.54,3.14,23.274094,0.880689696,0,0.119310304
