X,Y,Z
10.62,7.86,23.894094
10.62,9.04,23.894094
10.62,10.22,23.894094
10.62,11.4,23.894094
10.62,12.58,23.894094
10.62,13.76,23.894094
10.62,14.94,23.894094
10.62,16.12,23.894094
10.62,17.3,23.894094
10.62,18.48,23.894094
10.62,19.66,23.894094
10.62,20.84,23.894094
10.62,22.02,23.894094
10.62,23.2,23.894094
10.62,24.38,23.894094
0,-24,24.514094
1.18,-24,24.514094
2.36,-24,24.514094
3.54,-24,24.514094
4.72,-24,24.514094
5.9,-24,24.514094
7.08,-24,24.514094
8.26,-24,24.514094
9.44,-24,24.514094
10.62,-24,24.514094
0,-22.82,24.514094
1.18,-22.82,24.514094
2.36,-22.82,24.514094
3.54,-22.82,24.514094
4.72,-22.82,24.514094
5.9,-22.82,24.514094
7.08,-22.82,24.514094
8.26,-22.82,24.514094
9.44,-22.82,24.514094
10.62,-22.82,24.514094
0,-21.64,24.514094
1.18,-21.64,24.514094
2.36,-21.64,24.514094
3.54,-21.64,24.514094
4.72,-21.64,24.514094
5.9,-21.64,24.514094
7.08,-21.64,24.514094
8.26,-21.64,24.514094
9.44,-21.64,24.514094
10.62,-21.64,24.514094
0,-20.46,24.514094
1.18,-20.46,24.514094
2.36,-20.46,24.514094
3.54,-20.46,24.514094
4.72,-20.46,24.514094
5.9,-20.46,24.514094
7.08,-20.46,24.514094
8.26,-20.46,24.514094
9.44,-20.46,24.514094
10.62,-20.46,24.514094
0,-19.28,24.514094
1.18,-19.28,24.514094
2.36,-19.28,24.514094
3.54,-19.28,24.514094
4.72,-19.28,24.514094
5.9,-19.28,24.514094
7.08,-19.28,24.514094
8.26,-19.28,24.514094
9.44,-19.28,24.514094
10.62,-19.28,24.514094
0,-18.1,24.514094
1.18,-18.1,24.514094
2.36,-18.1,24.514094
3.54,-18.1,24.514094
4.72,-18.1,24.514094
5.9,-18.1,24.514094
7.08,-18.1,24.514094
8.26,-18.1,24.514094
9.44,-18.1,24.514094
10.62,-18.1,24.514094
0,-16.92,24.514094
1.18,-16.92,24.514094
2.36,-16.92,24.514094
3.54,-16.92,24.514094
4.72,-16.92,24.514094
5.9,-16.92,24.514094
7.08,-16.92,24.514094
8.26,-16.92,24.514094
9.44,-16.92,24.514094
10.62,-16.92,24.514094
0,-15.74,24.514094
1.18,-15.74,24.514094
2.36,-15.74,24.514094
3.54,-15.74,24.514094
4.72,-15.74,24.514094
5.9,-15.74,24.514094
7.08,-15.74,24.514094
8.26,-15.74,24.514094
9.44,-15.74,24.514094
10.62,-15.74,24.514094
0,-14.56,24.514094
1.18,-14.56,24.514094
2.36,-14.56,24.514094
3.54,-14.56,24.514094
4.72,-14.56,24.514094
5.9,-14.56,24.514094
7.08,-14.56,24.514094
8.26,-14.56,24.514094
9.44,-14.56,24.514094
10.62,-14.56,24.514094
0,-13.38,24.514094
1.18,-13.38,24.514094
2.36,-13.38,24.514094
3.54,-13.38,24.514094
4.72,-13.38,24.514094
5.9,-13.38,24.514094
7.08,-13.38,24.514094
8.26,-13.38,24.514094
9.44,-13.38,24.514094
10.62,-13.38,24.514094
0,-12.2,24.514094
1.18,-12.2,24.514094
2.36,-12.2,24.514094
3.54,-12.2,24.514094
4.72,-12.2,24.514094
5.9,-12.2,24.514094
7.08,-12.2,24.514094
8.26,-12.2,24.514094
9.44,-12.2,24.514094
10.62,-12.2,24.514094
0,-11.02,24.514094
1.18,-11.02,24.514094
2.36,-11.02,24.514094
3.54,-11.02,24.514094
4.72,-11.02,24.514094
5.9,-11.02,24.514094
7.08,-11.02,24.514094
8.26,-11.02,24.514094
9.44,-11.02,24.514094
10.62,-11.02,24.514094
0,-9.84,24.514094
1.18,-9.84,24.514094
2.36,-9.84,24.514094
3.54,-9.84,24.514094
4.72,-9.84,24.514094
5.9,-9.84,24.514094
7.08,-9.84,24.514094
8.26,-9.84,24.514094
9.44,-9.84,24.514094
10.62,-9.84,24.514094
0,-8.66,24.514094
1.18,-8.66,24.514094
2.36,-8.66,24.514094
3.54,-8.66,24.514094
4.72,-8.66,24.514094
5.9,-8.66,24.514094
7.08,-8.66,24.514094
8.26,-8.66,24.514094
9.44,-8.66,24.514094
10.62,-8.66,24.514094
0,-7.48,24.514094
1.18,-7.48,24.514094
2.36,-7.48,24.514094
3.54,-7.48,24.514094
4.72,-7.48,24.514094
5.9,-7.48,24.514094
7.08,-7.48,24.514094
8.26,-7.48,24.514094
9.44,-7.48,24.514094
10.62,-7.48,24.514094
0,-6.3,24.514094
1.18,-6.3,24.514094
2.36,-6.3,24.514094
3.54,-6.3,24.514094
4.72,-6.3,24.514094
5.9,-6.3,24.514094
7.08,-6.3,24.514094
8.26,-6.3,24.514094
9.44,-6.3,24.514094
10.62,-6.3,24.514094
0,-5.12,24.514094
1.18,-5.12,24.514094
2.36,-5.12,24.514094
3.54,-5.12,24.514094
4.72,-5.12,24.514094
5.9,-5.12,24.514094
7.08,-5.12,24.514094
8.26,-5.12,24.514094
9.44,-5.12,24.514094
10.62,-5.12,24.514094
0,-3.94,24.514094
1.18,-3.94,24.514094
2.36,-3.94,24.514094
3.54,-3.94,24.514094
4.72,-3.94,24.514094
5.9,-3.94,24.514094
7.08,-3.94,24.514094
8.26,-3.94,24.514094
9.44,-3.94,24.514094
10.62,-3.94,24.514094
0,-2.76,24.514094
1.18,-2.76,24.514094
2.36,-2.76,24.514094
3.54,-2.76,24.514094
4.72,-2.76,24.514094
5.9,-2.76,24.514094
7.08,-2.76,24.514094
8.26,-2.76,24.514094
9.44,-2.76,24.514094
10.62,-2.76,24.514094
0,-1.58,24.514094
1.18,-1.58,24.514094
2.36,-1.58,24.514094
3.54,-1.58,24.514094
