X,Y,Z
4.72,17.3,23.894094
4.72,18.48,23.894094
4.72,19.66,23.894094
4.72,20.84,23.894094
4.72,22.02,23.894094
4.72,23.2,23.894094
4.72,24.38,23.894094
5.9,-24,23.894094
5.9,-22.82,23.894094
5.9,-21.64,23.894094
5.9,-20.46,23.894094
5.9,-19.28,23.894094
5.9,-18.1,23.894094
5.9,-16.92,23.894094
5.9,-15.74,23.894094
5.9,-14.56,23.894094
5.9,-13.38,23.894094
5.9,-12.2,23.894094
5.9,-11.02,23.894094
5.9,-9.84,23.894094
5.9,-8.66,23.894094
5.9,-7.48,23.894094
5.9,-6.3,23.894094
5.9,-5.12,23.894094
5.9,-3.94,23.894094
5.9,-2.76,23.894094
5.9,-1.58,23.894094
5.9,-0.400000000000002,23.894094
5.9,0.779999999999998,23.894094
5.9,1.96,23.894094
5.9,3.14,23.894094
5.9,4.32,23.894094
5.9,5.5,23.894094
5.9,6.68,23.894094
5.9,7.86,23.894094
5.9,9.04,23.894094
5.9,10.22,23.894094
5.9,11.4,23.894094
5.9,12.58,23.894094
5.9,13.76,23.894094
5.9,14.94,23.894094
5.9,16.12,23.894094
5.9,17.3,23.894094
5.9,18.48,23.894094
5.9,19.66,23.894094
5.9,20.84,23.894094
5.9,22.02,23.894094
5.9,23.2,23.894094
5.9,24.38,23.894094
7.08,-24,23.894094
7.08,-22.82,23.894094
7.08,-21.64,23.894094
7.08,-20.46,23.894094
7.08,-19.28,23.894094
7.08,-18.1,23.894094
7.08,-16.92,23.894094
7.08,-15.74,23.894094
7.08,-14.56,23.894094
7.08,-13.38,23.894094
7.08,-12.2,23.894094
7.08,-11.02,23.894094
7.08,-9.84,23.894094
7.08,-8.66,23.894094
7.08,-7.48,23.894094
7.08,-6.3,23.894094
7.08,-5.12,23.894094
7.08,-3.94,23.894094
7.08,-2.76,23.894094
7.08,-1.58,23.894094
7.08,-0.400000000000002,23.894094
7.08,0.779999999999998,23.894094
7.08,1.96,23.894094
7.08,3.14,23.894094
7.08,4.32,23.894094
7.08,5.5,23.894094
7.08,6.68,23.894094
7.08,7.86,23.894094
7.08,9.04,23.894094
7.08,10.22,23.894094
7.08,11.4,23.894094
7.08,12.58,23.894094
7.08,13.76,23.894094
7.08,14.94,23.894094
7.08,16.12,23.894094
7.08,17.3,23.894094
7.08,18.48,23.894094
7.08,19.66,23.894094
7.08,20.84,23.894094
7.08,22.02,23.894094
7.08,23.2,23.894094
7.08,24.38,23.894094
8.26,-24,23.894094
8.26,-22.82,23.894094
8.26,-21.64,23.894094
8.26,-20.46,23.894094
8.26,-19.28,23.894094
8.26,-18.1,23.894094
8.26,-16.92,23.894094
8.26,-15.74,23.894094
8.26,-14.56,23.894094
8.26,-13.38,23.894094
8.26,-12.2,23.894094
8.26,-11.02,23.894094
8.26,-9.84,23.894094
8.26,-8.66,23.894094
8.26,-7.48,23.894094
8.26,-6.3,23.894094
8.26,-5.12,23.894094
8.26,-3.94,23.894094
8.26,-2.76,23.894094
8.26,-1.58,23.894094
8.26,-0.400000000000002,23.894094
8.26,0.779999999999998,23.894094
8.26,1.96,23.894094
8.26,3.14,23.894094
8.26,4.32,23.894094
8.26,5.5,23.894094
8.26,6.68,23.894094
8.26,7.86,23.894094
8.26,9.04,23.894094
8.26,10.22,23.894094
8.26,11.4,23.894094
8.26,12.58,23.894094
8.26,13.76,23.894094
8.26,14.94,23.894094
8.26,16.12,23.894094
8.26,17.3,23.894094
8.26,18.48,23.894094
8.26,19.66,23.894094
8.26,20.84,23.894094
8.26,22.02,23.894094
8.26,23.2,23.894094
8.26,24.38,23.894094
9.44,-24,23.894094
9.44,-22.82,23.894094
9.44,-21.64,23.894094
9.44,-20.46,23.894094
9.44,-19.28,23.894094
9.44,-18.1,23.894094
9.44,-16.92,23.894094
9.44,-15.74,23.894094
9.44,-14.56,23.894094
9.44,-13.38,23.894094
9.44,-12.2,23.894094
9.44,-11.02,23.894094
9.44,-9.84,23.894094
9.44,-8.66,23.894094
9.44,-7.48,23.894094
9.44,-6.3,23.894094
9.44,-5.12,23.894094
9.44,-3.94,23.894094
9.44,-2.76,23.894094
9.44,-1.58,23.894094
9.44,-0.400000000000002,23.894094
9.44,0.779999999999998,23.894094
9.44,1.96,23.894094
9.44,3.14,23.894094
9.44,4.32,23.894094
9.44,5.5,23.894094
9.44,6.68,23.894094
9.44,7.86,23.894094
9.44,9.04,23.894094
9.44,10.22,23.894094
9.44,11.4,23.894094
9.44,12.58,23.894094
9.44,13.76,23.894094
9.44,14.94,23.894094
9.44,16.12,23.894094
9.44,17.3,23.894094
9.44,18.48,23.894094
9.44,19.66,23.894094
9.44,20.84,23.894094
9.44,22.02,23.894094
9.44,23.2,23.894094
9.44,24.38,23.894094
10.62,-24,23.894094
10.62,-22.82,23.894094
10.62,-21.64,23.894094
10.62,-20.46,23.894094
10.62,-19.28,23.894094
10.62,-18.1,23.894094
10.62,-16.92,23.894094
10.62,-15.74,23.894094
10.62,-14.56,23.894094
10.62,-13.38,23.894094
10.62,-12.2,23.894094
10.62,-11.02,23.894094
10.62,-9.84,23.894094
10.62,-8.66,23.894094
10.62,-7.48,23.894094
10.62,-6.3,23.894094
10.62,-5.12,23.894094
10.62,-3.94,23.894094
10.62,-2.76,23.894094
10.62,-1.58,23.894094
10.62,-0.400000000000002,23.894094
10.62,0.779999999999998,23.894094
10.62,1.96,23.894094
10.62,3.14,23.894094
10.62,4.32,23.894094
10.62,5.5,23.894094
10.62,6.68,23.894094
